,Unnamed: 0,Author,Comments,Date,Ratings,Reviews,Title
6,6,Stephanie Brusig,Was this review helpful to you?, February 13 2013,5.0 out of 5 stars,My friend showed me this flashlight. Very bright and at a really great price. I will buy more to have around the house and cars.,Awesome flashlight!
7,7,Vanessa A. Gonzalez,Was this review helpful to you?, February 11 2013,5.0 out of 5 stars,"I bought one for myself for hurricane season. Bought a second one for my friend who's a cop, she love it!",Bright light
8,8,Mike C,Was this review helpful to you?, February 9 2013,5.0 out of 5 stars,"not quite sure of the exact 300lm as advertised, but this is one bright little flashlight. I bought several to keep in different areas of the house.",Good little flaslight
9,9,Alan Neves,Was this review helpful to you?, February 7 2013,5.0 out of 5 stars,"Talk about handy!! These little flashlights really kick backside.....
They are sturdy and super bright. I use these for camping, general use around the house and emergency lighting.
I have put one in pretty much every room so that they are accessible.",I LOVE THESE LITTLE FLASHLIGHTS!
0,0,PetroskiCarpentr,Was this review helpful to you?, February 6 2013,3.0 out of 5 stars,"Bought four of these, one failed on me but since they where so cheap It didn't bother me. I use 3.7 volt rechargeable battery's for extra kick.",Good and very bright. 1 bad out of 4
1,1,Perry in CT,Was this review helpful to you?, February 5 2013,5.0 out of 5 stars,"Got these as gifts.
really bright and very solid.
much more than I expected for the price.
good deal, good light.",cheap and bright
2,2,Nick,Was this review helpful to you?, February 5 2013,5.0 out of 5 stars,"Well built, great value. Super bright. Like the zoom focus feature to widen or narrow the beam and the convenience of using a single AA battery.",Great!
3,3,ob C,Was this review helpful to you?, February 5 2013,4.0 out of 5 stars,"nice light from one AA battery,but i've seen brighter.
tough and waterproof nicely machined with clip.
good value for the money",small pocket/glove compartment light
4,4,Dennis Highsmith,Was this review helpful to you?, February 4 2013,5.0 out of 5 stars,Great little flashlights!!! Been giving them as gifts!!! Very pleased with product and service!!! Thanks Again!!! Love the flashlight and they are very bright!!!,Flashlights
5,5,hdpartman,Was this review helpful to you?, January 31 2013,5.0 out of 5 stars,"No, you can't find the batteries at your local supermarket, nor do I believe you could find at Best Buy....","Great Small flashlight, remember you do need to buy a battery charger and and rechargeable battery's,"
6,6,lam,One person found this helpful. Was this review helpful to you?, January 30 2013,5.0 out of 5 stars,"These are great, I have 4 and use them daily. Co-workers are jealous because they are actually great lights at a great price. 100x better than those cheap LED lights you but at certain (cheap) stores. I have dropped mine from over 10 feet and they still work like a champ! The best part is you can put a rechargeable AA batteries in this bad boy and save a lotta $ in the long run. Price has gone up quite a bit since I bought them , otherwise I would have bought more for my co-workers...",This is my 4th one I bought!
7,7,Charlie T,Was this review helpful to you?, January 29 2013,5.0 out of 5 stars,"I attached mine to my toolbelt and can quickly pull it out whenever I need some light. The zoom focus works very well, and the LED light is super bright.",Great for toolbelt
8,8,JennyZ,Was this review helpful to you?, January 28 2013,4.0 out of 5 stars,"The light is strong and bright, the flashlight uses only one AA battery, it's amazingly bright. Highly recommend this product!","bright light, using only one AA battery"
9,9,MIkeyWa,Was this review helpful to you?, January 28 2013,5.0 out of 5 stars,"Wow what an awesome and bright little flashlight! The construction is quite sturdy, the pocket clip is secure but not too tight for me, and I love the adjustable zoom. The small size is also really handy. I have only tried this with alkaline AA batteries, but with those it is very bright. I will try lithium and Ni-Cad batteries once I get the chance. I actually purchased two of these and ended up buying a picatinny mount for one and mounting it on a shotgun for a cheap but effective weapon light.

Overall, this is a fantastic product, especially for the low price.",Unbeatable for the price
0,0,Shane P,Was this review helpful to you?, January 26 2013,5.0 out of 5 stars,"Pros
Bright light
Light is adjustable
It has good weight so feels like it won't smash apart when dropped.
Don't have to hold down the button to keep the light on

Cons:
Clip not all that useful",Surprisingly useful at a very cheap price
1,1,james,Was this review helpful to you?, January 26 2013,5.0 out of 5 stars,"For the price and quality of materials it appears to be a winner. I have purchased 6 of these so far and all are functioning and work great. Three modes of operation (high, low, and strobe) functions by tapping the rear button. The ability to focus beam is really nice. I have seen this same light re-branded for 4-5X more at various tacticool sites but this is same unit. Only funny aspect of this light is when you get the focal length just right you can actually see the LED die and junction projected on the wall. The delivery of this was before stated time but still it takes like 3 weeks to come from Hong Kong. I think I was quoted 2 months on delivery but it came well before stated time.",Wow...5 bucks and quality materials
2,2,luke,Was this review helpful to you?, January 25 2013,5.0 out of 5 stars,So far this flashlight is great. Very bright for the money and just one aa battery. If it lasts without breaking for awhile it is well worth the money...as much as some very higher priced flashlights.,So far this flashlight is great.
3,3,jkimod,Was this review helpful to you?, January 23 2013,5.0 out of 5 stars,"solid construction. very bright. it puts other led flashlights to shame at this price. i had purchased a couple of these from another online retailer at a higher price so when i saw it here for less, it was a no-brainer to get a couple more. i wouldn't hesitate to buy more if needed.",so bright
4,4,Stephen G,Was this review helpful to you?, January 23 2013,4.0 out of 5 stars,"Also the battery seems to last fairly long, the little focus ring on the front seems to be very loose on one that I got and too tight on the other. They dont fit inside the rail attachment on a one inch attachment I purchased at the Gun show but they perform well.",These are great for the price
5,5,Phoenix,Was this review helpful to you?, January 21 2013,5.0 out of 5 stars,"Use it on my gun belt clipped to my magazine holder. Watch out for the little screws, one fell out but I think I can find a replacement. The light is tiny but very powerful. My favorite light so far. I have two now and will probably order more. one AA and thats it. Dropped it numberous times on concrete and still works. What a rip off from other tactical lights. Its been field tested and more officers are interested, you can buy a few of these for the price of a standard ""tactical"" duty flashlight. Strongly recommended, takes a while for item to be shipped.",Great Flashlight very compact.
6,6,Aryajet,Was this review helpful to you?, January 21 2013,5.0 out of 5 stars,Flashlights arrived just fine and focus function appears to be quite useful. I tried them all with AA batteries and they all tested just fine.,All 3 in Good Working Order
7,7,Random human,Was this review helpful to you?, January 19 2013,5.0 out of 5 stars,"Pros
It was inexpensive. $5
Lasts a long time on a single AA battery.
Uses AA batteries as opposed to AAA.
Feels well made.
Being able to adjust the beam from focus to flood.
Nice light output considering its size and single battery.

Cons
The price went up. Otherwise its a fantastic little flashlight.",Great little flashlight
8,8,Hoyd,Was this review helpful to you?, January 18 2013,4.0 out of 5 stars,"A small and powerful flashlight with one AA battery. I really mean it. It is bright, and focus is adjustable. However, it is a bit heavy side if you are looking for something to fit in your pocket and carry all the time.","Very Good, but heavy."
9,9,S. Kim,Was this review helpful to you?, January 17 2013,5.0 out of 5 stars,"Oh man...I got this to put on a mount on my 12 guage shotgun for home defense. But it's so light and yet so durable and it's got a great orange power button (orange is my favorite color!) that it's hard to put it down. In fact, I like it so much I ordered three more (two more for me to use in my car and in the house) and also another one for my brother who is a flashlight snob like me. This has got to be one of the best investments of all time. The shine from this is both intense and large so it really lights up an area clearly and lights up a fairly big circumference for area/space.

Go get one! You'll know how awesome this little bugger is!",Honestly...this is the greatest flashlight....EVER.
0,0,Jeff Dreyfous,Was this review helpful to you?, February 11 2018,5.0 out of 5 stars,"I liked these so well that I gave them out as stocking stuffers to out family. They're built well, look nice, are plenty bright and small enough to have on hand or carry wherever you go. If you need a great little, durable flashlight, you can't go wrong with these. Highly recommended for sportsman and women of all activities, kids and folks in general looking for a small, bright, portable flashlight.","Small, Bright, Durable Flashlight"
1,1,NS,15 people found this helpful. Was this review helpful to you?, February 10 2018,4.0 out of 5 stars,"Given my many prior, poor experiences with several of the low-price/knockoff CREE type LED, zoomable style flashlights I've bought of this design, these lights are a surprisingly good purchase. I've left off 1 of the 5 stars for 2 main reasons detailed in PRO's/CON's list below:
CONS:
1- Without (very) fresh batteries, the luminosity quoted in the product description isn't consistently provided by these lights- except on full, fresh batteries, the light is much dimmer than it can be when the light has fully powered batteries in it, so you'll end up going through batteries faster than normal (thankfully, the ""Amazon Basics"" AA batteries are very good quality & are very cheap compared to name-brands, so this is a solveable issue, just wasteful, seeing as you end up tossing batteries which still hold some charge- I've ended up using the 1/2 dead flashlight batteries in my cable box remotes in an effort not to waste them).
2- Like many of the economical flashlights being sold of this design type, sometimes the power-button press to cycle between modes happens without your input, turning on the strobe setting or the lower light output setting without my intending to do so by pressing the power button.
PROS:
1- These lights are very compact, yet with fully charged batteries, they have a high light output for their size. Given the amount of light they provide when fully powered, they do a good job to the point that my wife always keeps one in her purse & her car for being about at night &/or walking our dog after dark.
2- Unlike many of the other flashlights I've bought of this design/type, these lights have held up quality-wise over a decent amount of use- working just as they well as they did when they'd 1st arrived.
3- The price asked would be inexpensive for 1 CREE-type LED light of this design & high quality, so very good value for a 2 pack!

Overall I certainly recommend them if you're looking for a good, low-cost & compact CREE-type LED, zoomable flashlight which works well & is of good quality..","Miniature in size & price, but big on light output!"
2,2,Coconut eater,Was this review helpful to you?, February 10 2018,5.0 out of 5 stars,Tiny yet powerful and the battery charge seems to last a long time.,It's a great personal LED flashlight that easily fits into a pocket.
3,3,"Dr. LRF, DPT",Was this review helpful to you?, February 10 2018,5.0 out of 5 stars,My husband is obsessed with this flashlight. One battery and it lights up like a police helicopter. Best flashlight ever. It can zoom or be diffuse. It's heavy and wish it had a wrist strap but otherwise awesome.,One battery and it lights up like a police helicopter
4,4,victoria,Was this review helpful to you?, February 10 2018,5.0 out of 5 stars,Works great. Husband and Dad liked the flash lights and size is easy to take with you anywhere. Will buy again,Works great. Husband and Dad liked the flash lights and ...
5,5,M4RC3L0,Was this review helpful to you?, February 7 2018,5.0 out of 5 stars,Awesome value for the price!! Well build and powerful enough - the lenses are a smart way of defusing the light - it works well.,Very good for the price!!
6,6,Drew,One person found this helpful. Was this review helpful to you?, February 6 2018,4.0 out of 5 stars,"Considering how little it costs for two of them, they are well built and very bright. The issue is with the switch logic. There is a single switch that turns it on/off (hard press) and changes the mode (half press). The problem is that each time you turn it on, it switches to the next mode. So if you are using it in “high” and turn it off, you will get “strobe” next time. Not a deal breaker, but annoying.

Again, great buy to throw in a drawer, but look elsewhere for something to carry every day.","Great for the price, but not for your “main” light"
7,7,Cris0911,Was this review helpful to you?, February 6 2018,5.0 out of 5 stars,"I loved these Rockbird flashlights. I already have these flashlights for over a year, and they still work wonderfully. I lived in Florida and they came in handy when we got hit with hurricane Irma.",Great flashlights for the price.
8,8,Stuart,Was this review helpful to you?, February 3 2018,5.0 out of 5 stars,Got it for my granddaughter camping trip. Small size which was great and very bright light.,Perfect size and very bright
9,9,Josh B.,Was this review helpful to you?, February 3 2018,5.0 out of 5 stars,"These are my favorite! Very bright, compact, and zoomable. Plus they come in 2 pack. One for the car, and one for home. These are awesome for their price.",This little lights are awesome!
0,0,K. Moore,Was this review helpful to you?, January 15 2013,5.0 out of 5 stars,"As advertised, zoom lens to change pattern, 1 aa battery, nice and bright. I have had it for a while and it has held up well.",Good Quality at a nice price
1,1,Chris C.,Was this review helpful to you?, January 14 2013,4.0 out of 5 stars,"Given its sub $7 price tag, I bought this thinking having another flashlight never hurts - so definitely not expecting much. All this changed as soon as I took took delivery and fired it up - this is a well-made, very bright flashlight! The adjustable beam is a nice feature, but overall, solid construction, brighter beam than a few other LED flashlights I own which costs 3-4X. Excellent value.",Very good value
2,2,Man Asura,Was this review helpful to you?, January 12 2013,4.0 out of 5 stars,"This company's service is very good, the product if there is a problem they will bear the responsibility, is a trusted company!",The service is very good company!
3,3,clopez,Was this review helpful to you?, January 11 2013,5.0 out of 5 stars,Very very bright. I love this little light. And the zoom feature is even better to use. You will not regret it,Bright bright bright
4,4,Peter C.,Was this review helpful to you?, January 10 2013,5.0 out of 5 stars,"great little adjustable flashlight. very bright and easy to carry along in my backpack when ever i need it. just found out about the different brightness settings, so cool!",small and bright!
5,5,DougVL,Was this review helpful to you?, January 10 2013,5.0 out of 5 stars,"This light is just as good as a 70 lumen Coleman that I got for twenty bux on closeout from wallyworld mart. The Coleman is bigger and uses 3 AAA cells instead of one AA, and focuses the beam with a rotating collar instead of a push-pull sliding one. The Coleman's light is rather bluish and the light from this Sodial is much more pleasant. The only thing about it that doesn't beat the Coleman is the size of the lighted area at the widest beam setting. The Sodial is smaller, lighter, just as bright, a bit easier to adjust the beam, has a clip and is a quarter of the price. And it has bright, dim and flashing settings which you switch by pushing the button halfway.

Overall - - Excellent.",Outstanding!
6,6,rando,Was this review helpful to you?, January 10 2013,3.0 out of 5 stars,"I ordered two and one arrived broken. The seller shipped me a replacement for free (did not require me to return the broken one), but since they are shipped from China this took a few weeks. The lights are quite bright and I like the ability to adjust the focus.",ordered two and one arrived broken
7,7,Charles Harris,Was this review helpful to you?, January 10 2013,4.0 out of 5 stars,"i ordered 2 of these due to the price. I thought what the heck, if they are no good i havent lost much. Surprisingly, these little flashlights are pretty damned good. You can adjust the beam from wide to very focused and when focused it goes a long way.
Not the best flashlight ive seen or own, but it appears to be well constructed....Good buy for the money.",Good buy
8,8,Phaid,Was this review helpful to you?, January 8 2013,3.0 out of 5 stars,"Slow ship from Digital center. Ordered Nov 13th. 1st 4 did not function, making them useless as Christmas gifts. Finally got 4 working lights Jan 8th.

With AA not 300 lumens not expected to be with AA. I am not buying a 14500 3.6v Battery for a < $5 flashlight. Second batch seems to have more consistent manufacture on the sliding bezel for the zoom function. Metal clip is very stout. I have done worse on cheep Ebay lights, but does not make me confident as a go to in SHTF situation.

More update to come possibly.",Solid light for < $5-. Slow ship from Digital center. 1st 4 did not work.
9,9,Mark Salzer,Was this review helpful to you?, January 8 2013,3.0 out of 5 stars,Good brightness even with AA battery but it doesn't adjust the beam as advertised. Feels solid in the hand and the clip appears solid.,Doesn't adjustment
0,0,Seasun Lee,Was this review helpful to you?, January 8 2013,3.0 out of 5 stars,I had ordered 2 of these in a previous order and found them to be great. Really bright and solid. I ordered 4 more which took over a month to receive. These newer ones weren't as bright and the build is slightly different. The newer ones are slightly longer and the led looks different and is not even half as bright as the original 2. They are still brighter than my non led mini maglite so I guess I'll keep them.,Not the same as previous order
1,1,Russel Eckert,Was this review helpful to you?, January 7 2013,5.0 out of 5 stars,"For the price you just can't beat this little light. It's smaller and brighter than my Maglite XL50, uses ONE AA battery instead of 3 AAA batteries, and NEVER gets turned on accidentally in my pocket!",Wow!
2,2,Tracy A. Dexter,2 people found this helpful. Was this review helpful to you?, January 7 2013,1.0 out of 5 stars,Product arrived DOA. Seems to be a current fad with this piece of merchandise. Waiting to see if I will get another one sent to me or what.,D.O.A.
3,3,ta,Was this review helpful to you?, January 6 2013,4.0 out of 5 stars,"These are small and great. I bought a bunch for small Christmas gifts. One batch I ordered is different than the other, hence the one star deduction. The first batch will cycle through 3 modes as you turn it on: low, high, flashing. The second batch only has on/off - no flashing or varied intensity.

For the price, I don't really care which one I get. I keep on clipped to the visor of our cars, just in case.",Great flashlights
4,4,Fred,2 people found this helpful. Was this review helpful to you?, January 6 2013,1.0 out of 5 stars,"Hate it because I love it. I have not received it yet. I got one in the past and I loved it and decided to buy five more for myself and friends, but it's been a month and they are not here. They are definitely on a slow boat from China.",Hate it because I love it
5,5,Jeffrey Johnson,Was this review helpful to you?, January 6 2013,4.0 out of 5 stars,"Great little light.
As good as lights costing ten times as much.
Only uses one AA battery.
Going to order more.",Awesome!
6,6,MIO,Was this review helpful to you?, January 6 2013,4.0 out of 5 stars,"Okay the pluses are its lightweight, small, takes a regular battery, the button is easy to push and is bright.
The drawbacks are that the focus moves easy so when you deploy it it's usually set on wide angle so it's no good for tactics, the clip is turned the wrong way to attach to my ballcap for hands free operation.
The bevel end for striking is marginal.
If you want a tacticool light to blast the eyes of a thug with lightening speed this aint it. If you want a good light for a bag, hunting pack, glovebox that allows you focus ability it's not a regrettable choice by any means.","Not Bad, Not Great"
7,7,venugm,Was this review helpful to you?, January 6 2013,5.0 out of 5 stars,Even with a AA alkaline battery this flash light is bright. It is solidly built. The weight of the flashlight fooled me into thinking it already had the battery inside.,very bright and solidly built
8,8,Timstoys,Was this review helpful to you?, January 6 2013,5.0 out of 5 stars,I bought 20 of these at $4.99 and gave them away as Christmas presents. I tested every one to make sure they worked. These all had the 3 mode switch and seemed very well built. I have one of my own I carry and use several times a day that was bought from another vendor but it only has on/off. As one of the other reviewers said everyone should own one of these.,Great Christmas presents!!
9,9,T. Tompkins,Was this review helpful to you?, January 5 2013,4.0 out of 5 stars,"I got this on sale and was rather skeptical about how well it would perform on an ordinary alkaline penlight battery. Well, I'm happy to say that it was brighter than expected and absolutely outshines any of the inexpensive, single-battery LED flashlights I've purchased over the last few years. It also is much brighter than the 8 or 9-LED models that use three AAA batteries. The light has a bit of a bluish tint, but not annoyingly so, by any means. With the adjustable lens fully forward, this baby will project a small, rectangular beam of light for over a hundred feet. Bring the lens back and it becomes a nice flood light. As others have mentioned, the lens just slides back and forth rather than staying in a secured position as it would if it were threaded. However, you'll likely not be using it much as a spotlight, anyway, due to the narrow beam.

There apparently are several types out there that look virtually identical and what I was expecting was the single on/off variety. What I actually received was the one that gives full brightness, off, reduced brightness, off, strobe and off for each push of the tail switch. Although this is an ordinary locking, click-on/click-off switch, there apparently is some circuitry that keeps track of the number of times the contacts open and close in a short period of time. In ordinary use, the light will always come on at full brightness and go off with the next push, just like a regular flashlight. I also tested it with a battery that was getting weak and, although dimmer, it still produced plenty of light

At 3.2 oz (with battery), this is heavier than I expected and is also fatter than other 1-AA lights. It appears to be quite rugged and that also goes for the clip, which is fastened by two screws. Not sure I'd want to carry this in a pocket for long periods of time--maybe on a belt, though. It was wrapped in ample bubble wrap inside the envelope in which it was delivered, which held no paperwork.",Really bright on 1 AA battery.
0,0,Inspector Gadget,Was this review helpful to you?, January 5 2013,5.0 out of 5 stars,Super bright flashlight. I use the lithium batteries but that's not necessary unless battery life is a concern. Very well made. Own a number of them and am impressed with both performance and the quality of the design.,Super Bright
1,1,Amazon Customer,Was this review helpful to you?, January 4 2013,4.0 out of 5 stars,Awesome light! Very bright and perfect size. My husband loves it. It took a while for it to arrive though.,Very bright!
2,2,R. Frobenius,Was this review helpful to you?, January 4 2013,5.0 out of 5 stars,"You can't beat the value for the price on this flashlight. The case has a very solid feel and overall the unit has a good heft to it. The on/off button is a little on the cheap side, but otherwise the quality seems quite good. The zoom simply slides forwards and back (no threads), which seems at first a little flimsy but in practice it means that you can hold the light and operate the zoom with one hand - very useful. Delivery took a 2-3 weeks to arrive from Hong Kong, so you need to be patient.",Good Value
3,3,Daniel T. Doak,Was this review helpful to you?, January 4 2013,5.0 out of 5 stars,"We keep these in our vehicles, in the event we need a flashlight. You can find them on eBay for about the same price. Noticed these are a little bit of a cooler white then the ones of gotten off of eBay. They both has the same brightness. For the money, they really can't be beat.",Good Flashlight
4,4,ryan,Was this review helpful to you?, January 4 2013,4.0 out of 5 stars,"Great light for the money! No instructions whatsoever with light, thus I had to try various battery sizes before realizing 1 AA was all i needed. The beam will reach out far when you pull the focus zoom lens out.",300 lm light
5,5,No Signature,Was this review helpful to you?, January 3 2013,5.0 out of 5 stars,"This little bugger is probably the smallest and brightest LED flashlight I've ever seen!! The overall build quality is that of a $20+ dollar light. It feels small in the hand, but very durable. The adjustable focus is very smooth, and the 3 operating modes (bright, dim, and bright strobe) and pretty easy to use. I've been using it for the past 3 nights to walk the dog, and am still on the first AA I put into it. Its been running for 45 minuets a night for 3 nights, with no visible change in brightness or distance. I am not using any special batteries, just plain generic brand AA's from my local Home Depot.

Pro: Super bright, adjustable focus, multiple operating modes, runs on 1 AA battery, all metal body construction

Cons: On/Off button can be a little hard to press while holding the light.

On a side note: shipping time to the states is rather long, as I believe it ships from somewhere in Asia.

**Bottom line: Super bright, all metal, LED flash light in a small, durable package. The most affordable super bright LED light I've found so far, and my favorite to use.",Super Bright LED Flashlight!
6,6,Hunter Bryant,Was this review helpful to you?, December 31 2012,5.0 out of 5 stars,"These flashlights are basically free, and they are so bright they light up the room better than Liza Minelli's smile. I bought six for xmas gifts and they were well received.",Awesome!
7,7,WM,Was this review helpful to you?, December 31 2012,3.0 out of 5 stars,"This was advertised as 300 lumens and it just doesn't seem possible as it is much closer to other lights I have in the 100 lumen range. This is a good light however so I'm really only deducting 2 stars because the stated output seems inflated.

The focus mechanism is useful but not particularly good at holding a focus setting - it's somewhat loose and just a slide mechanism. I like the fact that it feels sturdy, only needs 1 AA, has a an anti-roll design and can be stood up on it's tail so that the light is aimed upwards (e.g. at the ceiling). The cutouts on the head also allow you to place it lens down and you'll be able to easily recognize if you accidentally left it on as light will bleed through.","Bright enough light, can't possibly be 300 lumens"
8,8,ob,Was this review helpful to you?, December 31 2012,5.0 out of 5 stars,This is an outstanding little flashlight. Very well made and very bright. I immediately bought 8 more for Christmas presents.,"Great, very bright, well constructed"
9,9,R. Russell,3 people found this helpful. Was this review helpful to you?, December 29 2012,1.0 out of 5 stars,"We are simply delighted with this little powerhouse! As far as we're concerned, it is plenty bight and blows regular flashlights away. I was rather amazed at the light beam (adjustable) it offers. The scalloping on the nose protects the lens. I recommend using a rechargeable AA battery because it uses a bit of power to provide that nice beam. BUT after one uses the little powerhouse, the button on the end gets messed up and you have to disassemble it to get the loose spring properly aligned again. This happens with both of the ones we bought. They really should be pulled from the inventory because this issue really compromises the usability of the flashlight. Clearly bad design.",Very Utilitarian - until you use it!
0,0,drfgtown,6 people found this helpful. Was this review helpful to you?, December 28 2012,1.0 out of 5 stars,"Worked great for a short while, then completely stopped working. Probably didn't use it more than six or seven times. Save your money.","Cheap flashlight, broke shortly after receiving"
1,1,John Mason,Was this review helpful to you?, December 28 2012,5.0 out of 5 stars,"This little light is incredibly impressive. Heavy weight, feels high-quality. Beam adjustment works well. Shipping takes a while from overseas. I will definitely buy this again.",Very impressive
2,2,G. Chock,Was this review helpful to you?, December 27 2012,5.0 out of 5 stars,"I wasn't sure what to expect from this low cost flashlight but it is fantastic. It uses a single AA battery which I use a rechargeable for so I can just use the same one over and over without buying more. It has 3 modes, solid bright, solid dim and quick flashing. The crenelated end cap is great for self defense if needed. It is light weight and compact. I will probably buy a bunch of these now that I know how great they are. The lens on the end is also easily removed and can be used as an emergency solar fire starter if needed of if you have some steel wool you can use the battery to start a fire as well. Multiple uses in something is always a good thing!",Surprisingly great flashlight
3,3,Daniel Collins,Was this review helpful to you?, December 27 2012,3.0 out of 5 stars,"This is not a 300 lumen light. It is dimmer than my Fenix which is about 115 lumens. Don't buy this unless you know what you're getting.

By the way, since the light supports both 1.2V NiMH batteries and 3.7V Li-ion batteries, I was hoping that there was an internal regulator. Well, there certainly is, but it isn't very effective. I used two batteries: a 2600 mAh 1.2V AA and a 900 mAh 3.7V 14500. If you do the math, you find that those batteries can deliver about equal power. But, the AA battery makes the light significantly dimmer. That means that the regulator isn't doing its job - if the flashlight was truly designed for both battery types, the regulator would drive the LED at the same voltage regardless of battery type. What happened here is probably that the light was designed for a Li-ion 14500 and someone noticed that it happens to work with an AA as well. The quality is NOT the same, and if there really is a CREE LED in here, it isn't being driven to its full potential.",Don't believe the title
4,4,Robert R. Pokorny Jr.,Was this review helpful to you?, December 27 2012,5.0 out of 5 stars,"This little guy uses only one AA battery but has a very powerful beam. The adjustment goes from very wide to very concentrated easily. Great for your jacket pocket, briefcase, or glove box. Sweet deal. I got two and the wife grabbed one right away due to it's versatility.",Brilliant Flashlight!
5,5,Colin Smith,Was this review helpful to you?, December 27 2012,5.0 out of 5 stars,"I like that this is very bright in a very small package. Batteries run down quick, but since I use rechargeables that is ok. The Lion batteries are brighter than the AAs.",Nice Size. Very bright. Good price.
6,6,Fritz Merkel,Was this review helpful to you?, December 26 2012,4.0 out of 5 stars,"I have a similar single AA focus light I got from China. This one is better machined, brighter, and has a smoother focus.",Bright and small
7,7,randon B.,Was this review helpful to you?, December 25 2012,5.0 out of 5 stars,"Very bright, perfect size, no complaints. Insert a AA battery and you're good to go. I wish it had included a battery, but for the price I have zero complaints.",great light
8,8,Giovanni Espinoza,Was this review helpful to you?, December 24 2012,5.0 out of 5 stars,"A very good and built product for the price. Great product...and it only works on a single AA battery.
It has a high output and bright light that you can zoom in and out, low light to save the battery power and strobe.",Good for the price.
9,9,Zeebop9,2 people found this helpful. Was this review helpful to you?, December 23 2012,5.0 out of 5 stars,"After more than 30 days of waiting (I ordered these in November) I finally wrote to the company and told them that I still
did not receive my flashlights. They wrote back the next day and seemed friendly and helpful.
They said items may have been lost in shipping. They asked if I wanted a refund or to resend items.
I said resend as I already waited this long. Finally after more than 45 days I finally received these babies.
You really can't go wrong for the price (at the time I paid $4.99 each) They're very bright and handy
around the house and car. I'm an avid fan of Fenix Flashlights so you really can't compare
these to Fenix products but I was pleasantly surprised to see how good the quality build is.
3 modes: bright, medium and strobe. From flood to spotlight with an easy flick of your finger.
So if you can wait forever to get these, I would recommend them as they only use one AA battery
as opposed to an expensive CR123A Lithium. I gave a couple to my friends and family and they're very happy
with them. The lights seem pretty solid and overall I'm happy with these although in the
time it took to get to me I could've walked over there to get them myself.
For the price and quality I give these 5 stars.",More than 45 days to get item....
0,0,James R Norton,Was this review helpful to you?, December 22 2012,5.0 out of 5 stars,"First I bought 2 in case I liked them. This order was for 4. My ""Number One"" flashlight was a 5 ""D"" Cell Mag Light until I found the Mini Cree. Both are adjustable from a wide beam to a spot but the Cree weighs nothing compared to the Mag. And certainly replacing 1 ""AA"" cell id much more economical than replacing 5 ""D"" cells. The only thing the Mag is more usefull for than the Cree is as a weapon.",Best little flashlight in the world!
1,1,obby Dunn,Was this review helpful to you?, December 21 2012,5.0 out of 5 stars,"I ordered one of these for each of our cars along with a pack of the 14500 Li Ion batteries from fleabay. It works really well and seems pretty well constructed. I like being able to use the Li Ion for rechargeable and extra brightness and the AA for quick and easy power anywhere. The only complaint I can think of is the zoom is a little cheap feeling, but not terrible.","Bright, cheap, and pretty well made"
2,2,Gordon M.,Was this review helpful to you?, December 21 2012,5.0 out of 5 stars,"I work on the field all day long, and can tell you I wouldn't sell or change this Torch for ANYTHING (well OK, maybe a million dollars).

I'm serious, this thing will light up an entire case, heck even an entire 25ft sq. room. You wouldn't believe the density of this thing and the the illumination power. WOW!! Extremely pleased!!!!!! A+++",This is ONE HECK OF A TORCH!!! I'm a Computer IT and personally recommend this!!
3,3,O,Was this review helpful to you?, December 21 2012,5.0 out of 5 stars,"I took this flashlight to Costa Rica with me and it survived wonderfully. Extremely bright and with the telescopic extension, reaches a great distance. Light and portable. Love it.",Amazing little flashlight!
4,4,ig Hammer,Was this review helpful to you?, December 21 2012,4.0 out of 5 stars,"Not quite the equal to a similar model I purchased from a different source.
The brighter unit has a second lens under the outer one. This one appears to have a bubble lens mounted directly on the emitter instead.",Works pretty well
5,5,E. Strause,Was this review helpful to you?, December 21 2012,5.0 out of 5 stars,"I picked up a few of these flashlights for my parents and myself. They are really small and easy to take with you or keep somewhere just in case. The light output is great with AA, even better with 3.7v 14500 batteries. I'm very happy with them.",Great little flashlight
6,6,ob Stone,4 people found this helpful. Was this review helpful to you?, December 20 2012,1.0 out of 5 stars,Waiting for it to arrive...did not expect to wait so long for such a small flash light. Good luck in the future...,Still waiting for it..not happy at this time
